User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-12-01 14:36:18.197970,0:00:35.019566,Completed,BAE-DT132,10044,2515,X04389, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-12-01 14:36:22,0:00:03,1682.21398926,1678.9342041,1678.47460938,1681.3215332,1686.2532959,1681.71936035,1687.96118164,1676.96899414
Pin Impedance,2,2017-12-01 14:36:22,0:00:04,787.383666992,788.520751953,790.020874023,784.699951172,788.794677734,790.427734375,784.863037109,791.432250977
Pin Impedance,3,2017-12-01 14:36:22,0:00:04,1384.04370117,1384.90905762,1381.23571777,1388.25427246,1382.06408691,1387.17163086,1384.84118652,1378.78564453
Pin Impedance,4,2017-12-01 14:36:22,0:00:04,1933.98913574,1941.8223877,1940.13037109,1937.59362793,1939.59716797,1932.29858398,1935.68029785,1933.98913574
Pin Impedance,5,2017-12-01 14:36:23,0:00:04,1631.08703613,1622.46875,1625.5032959,1629.91809082,1622.58618164,1632.7097168,1627.58496094,1628.6295166
Pin Impedance,6,2017-12-01 14:36:23,0:00:05,642.800109863,646.006958008,652.407836914,643.617919922,644.038024902,643.600036621,646.233703613,644.003112793
Pin Impedance,7,2017-12-01 14:36:23,0:00:05,598.301757812,597.52154541,600.354064941,598.481384277,590.027954102,597.706420898,598.163879395,599.707458496
Pin Impedance,8,2017-12-01 14:36:23,0:00:05,647.340698242,650.086120605,642.876342773,649.938476562,641.613586426,648.006958008,645.773925781,644.959716797
Pin Impedance,9,2017-12-01 14:36:24,0:00:05,1576.96484375,1575.26025391,1578.3560791,1576.96484375,1575.3203125,1574.24682617,1577.21911621,1577.03039551
Pin Impedance,10,2017-12-01 14:36:24,0:00:06,1627.9465332,1625.47619629,1619.71911621,1629.08129883,1620.2253418,1628.82653809,1623.14575195,1628.89074707
