User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-11-02 16:44:39.296463,0:00:34.958490,Completed,BAE-DT132,10044,2515,X06655, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-02 16:44:43,0:00:03,92.1954421997,92.7631378174,86.884979248,91.0054931641,90.0277709961,91.0054931641,91.2195129395,90.4267654419
Pin Impedance,2,2017-11-02 16:44:43,0:00:04,85.0,84.3445281982,87.4757080078,82.0365753174,88.2836303711,83.3606643677,86.3133850098,84.3445281982
Pin Impedance,3,2017-11-02 16:44:43,0:00:04,139.846343994,139.846343994,134.238586426,140.346008301,135.915420532,140.06427002,136.242431641,140.616500854
Pin Impedance,4,2017-11-02 16:44:43,0:00:04,1934.05822754,1933.05969238,1932.3729248,1931.60168457,1934.90100098,1928.30334473,1934.36315918,1929.45507812
Pin Impedance,5,2017-11-02 16:44:44,0:00:04,1641.51940918,1649.6875,1646.51904297,1649.2376709,1650.77734375,1648.79260254,1645.49633789,1645.27355957
Pin Impedance,6,2017-11-02 16:44:44,0:00:05,654.048950195,650.406005859,649.049316406,652.012268066,646.804443359,647.43572998,645.800292969,649.809997559
Pin Impedance,7,2017-11-02 16:44:44,0:00:05,601.592041016,603.067138672,598.782958984,599.470581055,597.214355469,591.313781738,603.162475586,595.490539551
Pin Impedance,8,2017-11-02 16:44:44,0:00:05,649.418945312,651.576538086,650.24609375,648.834350586,648.006958008,656.25982666,648.752624512,651.576538086
Pin Impedance,9,2017-11-02 16:44:45,0:00:05,1579.00756836,1577.48217773,1569.69458008,1579.82409668,1573.1932373,1573.53417969,1573.91394043,1576.20202637
Pin Impedance,10,2017-11-02 16:44:45,0:00:06,1641.91357422,1640.67578125,1648.40344238,1637.49194336,1643.79138184,1644.70056152,1647.1529541,1643.06665039
Pin Impedance,11,2017-11-02 16:44:45,0:00:06,1829.12792969,1836.89794922,1823.29724121,1830.8536377,1827.55407715,1830.14013672,1823.86950684,1832.57983398
