User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-11-21 11:33:47.956476,0:00:35.023370,Completed,BAE-DT119,47,2515,X04850, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-21 11:33:51,0:00:03,1848.28186035,1855.69934082,1848.71032715,1852.90368652,1850.69958496,1852.47619629,1855.69934082,1849.67993164
Pin Impedance,2,2017-11-21 11:33:52,0:00:04,928.689941406,925.644104004,929.22442627,924.015686035,927.703613281,933.56628418,925.533874512,932.507385254
Pin Impedance,3,2017-11-21 11:33:52,0:00:04,1551.64038086,1550.83618164,1554.64782715,1548.84338379,1552.41491699,1550.24194336,1548.21765137,1551.04638672
Pin Impedance,4,2017-11-21 11:33:52,0:00:04,2051.67285156,2052.21875,2044.7545166,2049.49194336,2050.54394531,2048.65332031,2054.14916992,2045.29992676
Pin Impedance,5,2017-11-21 11:33:52,0:00:04,1804.20007324,1805.80004883,1804.81140137,1810.60925293,1804.40490723,1806.80163574,1803.80322266,1810.22045898
Pin Impedance,6,2017-11-21 11:33:53,0:00:05,783.614685059,786.609191895,786.834777832,783.661254883,787.818481445,786.466125488,788.807312012,783.424560547
Pin Impedance,7,2017-11-21 11:33:53,0:00:05,738.011535645,733.654541016,732.246520996,731.744506836,731.4765625,735.967407227,736.340270996,733.017028809
Pin Impedance,8,2017-11-21 11:33:53,0:00:05,786.489013672,794.099487305,793.095214844,792.948913574,792.278381348,794.36138916,789.922790527,791.015197754
Pin Impedance,9,2017-11-21 11:33:53,0:00:05,1773.85705566,1769.66809082,1774.44360352,1772.68530273,1772.46069336,1770.70385742,1768.27172852,1775.70300293
Pin Impedance,10,2017-11-21 11:33:54,0:00:06,1825.27368164,1827.09875488,1821.46008301,1824.08886719,1821.50756836,1822.09912109,1825.44482422,1824.08886719
Pin Impedance,11,2017-11-21 11:33:54,0:00:06,2077.54516602,2073.27099609,2075.13525391,2080.79907227,2070.34350586,2072.73828125,2073.43286133,2074.27709961
Pin Impedance,12,2017-11-21 11:33:54,0:00:06,1909.01049805,1908.72729492,1910.94555664,1909.28393555,1909.84082031,1907.34008789,1910.67138672,1916.22155762
Pin Impedance,13,2017-11-21 11:33:55,0:00:07,753.919067383,752.455322266,751.671447754,749.979309082,749.811279297,749.026062012,755.429016113,748.575317383
Pin Impedance,14,2017-11-21 11:33:55,0:00:07,1274.04272461,1274.79956055,1269.70898438,1274.59558105,1272.53015137,1275.5567627,1271.22180176,1268.40100098
Pin Impedance,15,2017-11-21 11:33:55,0:00:07,729.441589355,724.555053711,728.030883789,725.965576172,731.710327148,731.508056641,728.786682129,729.543029785
Pin Impedance,16,2017-11-21 11:33:55,0:00:07,781.797912598,785.366821289,786.111938477,785.697753906,786.034362793,780.838623047,788.350830078,782.466003418
Pin Impedance,17,2017-11-21 11:33:56,0:00:08,1324.42626953,1323.21765137,1323.14819336,1327.31799316,1323.14819336,1325.16564941,1323.21765137,1321.80517578
Pin Impedance,18,2017-11-21 11:33:56,0:00:08,820.926330566,816.541503906,820.58026123,816.32409668,818.733764648,826.539794922,816.81640625,823.11907959
Pin Impedance,19,2017-11-21 11:33:56,0:00:08,1209.96899414,1214.49328613,1215.60559082,1211.14196777,1215.25512695,1212.5513916,1216.55126953,1215.37036133
Pin Impedance,20,2017-11-21 11:33:56,0:00:08,1024.70727539,1025.45214844,1023.81445312,1027.98059082,1023.21893311,1023.81445312,1020.32006836,1019.57739258
Pin Impedance,21,2017-11-21 11:33:57,0:00:09,564.861938477,560.440002441,566.255249023,561.257507324,566.015014648,563.692321777,562.650878906,568.71081543
Pin Impedance,22,2017-11-21 11:33:57,0:00:09,645.626037598,647.635681152,647.364685059,645.01940918,648.0625,646.304138184,648.854370117,648.496704102
Pin Impedance,23,2017-11-21 11:33:57,0:00:09,1227.18908691,1231.97570801,1221.44543457,1224.72607422,1225.02246094,1226.70007324,1226.98864746,1222.10070801
Pin Impedance,24,2017-11-21 11:33:58,0:00:10,1246.49462891,1244.55456543,1249.42907715,1250.30957031,1248.78259277,1250.9552002,1243.38330078,1253.01074219
Pin Impedance,25,2017-11-21 11:33:58,0:00:10,646.46887207,645.19921875,647.241088867,643.596923828,650.056152344,646.606506348,642.881774902,643.518432617
Pin Impedance,26,2017-11-21 11:33:58,0:00:10,1186.015625,1186.18713379,1180.90222168,1185.53991699,1178.84899902,1181.19641113,1182.3112793,1181.31152344
Pin Impedance,27,2017-11-21 11:33:58,0:00:10,536.991638184,543.393981934,543.393981934,546.847351074,540.081481934,544.165405273,542.62322998,540.715270996
Pin Impedance,28,2017-11-21 11:33:59,0:00:11,599.616516113,597.452087402,601.02746582,602.252441406,604.152282715,604.325256348,600.573913574,606.671264648
Pin Impedance,29,2017-11-21 11:33:59,0:00:11,590.190673828,590.811279297,584.870910645,584.911132812,586.434997559,583.16809082,588.786010742,584.572509766
Pin Impedance,30,2017-11-21 11:33:59,0:00:11,588.218505859,586.284912109,584.490356445,585.399841309,585.12902832,589.48449707,587.30657959,584.623840332
Pin Impedance,31,2017-11-21 11:33:59,0:00:11,572.188781738,567.366699219,572.933654785,570.032470703,572.113647461,571.371154785,569.612121582,571.52166748
