User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-12-01 14:26:15.228818,0:00:35.020293,Completed,BAE-DT123,00000004,2515,X04859, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-12-01 14:26:18,0:00:03,1901.2890625,1894.70019531,1893.33166504,1901.43786621,1897.52050781,1900.80957031,1900.16662598,1903.62207031
Pin Impedance,2,2017-12-01 14:26:19,0:00:03,1148.00695801,1156.63342285,1156.63342285,1158.03503418,1153.00695801,1153.80505371,1149.43676758,1158.20288086
Pin Impedance,3,2017-12-01 14:26:19,0:00:04,1656.80712891,1681.21984863,1676.1171875,1656.84191895,1679.27636719,1668.41955566,1676.65625,1666.36157227
Pin Impedance,4,2017-12-01 14:26:19,0:00:04,2369.08642578,2359.13549805,2363.9375,2370.62548828,2367.88110352,2366.5090332,2389.32617188,2361.03051758
Pin Impedance,5,2017-12-01 14:26:20,0:00:04,1829.14648438,1838.00158691,1835.67150879,1841.94921875,1832.33752441,1831.5703125,1835.40869141,1837.84680176
Pin Impedance,6,2017-12-01 14:26:20,0:00:05,999.684936523,993.986938477,1002.22802734,999.90246582,996.619262695,988.466491699,997.900268555,991.87902832
Pin Impedance,7,2017-12-01 14:26:20,0:00:05,940.498291016,926.351989746,924.982727051,925.799682617,923.597839355,929.973144531,934.445800781,928.588195801
Pin Impedance,8,2017-12-01 14:26:20,0:00:05,964.648132324,983.227844238,971.018554688,959.396179199,969.854125977,971.249206543,968.587646484,973.457763672
Pin Impedance,9,2017-12-01 14:26:21,0:00:05,1883.60717773,1894.67810059,1883.82592773,1884.36645508,1889.57617188,1885.91674805,1887.94592285,1882.52697754
Pin Impedance,10,2017-12-01 14:26:21,0:00:06,1931.13537598,1926.32971191,1912.64038086,1931.02099609,1928.08813477,1932.09362793,1919.1842041,1930.25927734
Pin Impedance,11,2017-12-01 14:26:21,0:00:06,2153.97875977,2153.18603516,2136.77880859,2150.63916016,2155.90039062,2149.2253418,2157.61767578,2153.12280273
Pin Impedance,12,2017-12-01 14:26:21,0:00:06,2002.11010742,2010.89355469,2007.10986328,2011.26855469,2000.76635742,1999.97424316,2006.92504883,2000.94873047
Pin Impedance,13,2017-12-01 14:26:22,0:00:07,964.60559082,961.949035645,966.188903809,960.152099609,961.326660156,965.340332031,960.040100098,958.188415527
Pin Impedance,14,2017-12-01 14:26:22,0:00:07,1374.41955566,1373.04516602,1375.2701416,1382.62426758,1379.64782715,1378.18725586,1371.07397461,1376.5994873
Pin Impedance,15,2017-12-01 14:26:22,0:00:07,917.004882812,917.60559082,912.340393066,911.706665039,918.825317383,915.756530762,920.609008789,910.464172363
Pin Impedance,16,2017-12-01 14:26:23,0:00:07,949.371398926,935.816223145,949.413513184,947.715698242,943.546508789,948.266845703,947.165222168,950.486694336
Pin Impedance,17,2017-12-01 14:26:23,0:00:08,1456.14318848,1463.9576416,1461.73352051,1454.11486816,1462.54370117,1461.75402832,1463.26379395,1466.0657959
Pin Impedance,18,2017-12-01 14:26:23,0:00:08,1005.33776855,1011.47418213,1008.27178955,1004.57452393,1017.28314209,1011.34466553,1009.78613281,1008.58813477
Pin Impedance,19,2017-12-01 14:26:23,0:00:08,1391.9029541,1387.50561523,1398.9152832,1386.78796387,1388.18188477,1394.76159668,1386.88317871,1396.01220703
Pin Impedance,20,2017-12-01 14:26:24,0:00:08,1219.90905762,1210.81542969,1214.81066895,1207.44238281,1207.56030273,1206.89440918,1214.60778809,1211.47058105
Pin Impedance,21,2017-12-01 14:26:24,0:00:09,791.07019043,789.387756348,790.595336914,783.083618164,785.31842041,783.765258789,788.989868164,786.532287598
Pin Impedance,22,2017-12-01 14:26:24,0:00:09,862.980895996,864.709228516,864.190368652,864.322265625,864.868225098,871.443054199,861.626342773,868.811828613
Pin Impedance,23,2017-12-01 14:26:24,0:00:09,1393.0871582,1393.28747559,1391.7076416,1386.27844238,1387.63183594,1387.63183594,1389.73852539,1393.16186523
Pin Impedance,24,2017-12-01 14:26:25,0:00:10,1429.08398438,1429.85449219,1424.21411133,1429.07141113,1426.26403809,1434.08227539,1429.11340332,1429.11340332
Pin Impedance,25,2017-12-01 14:26:25,0:00:10,867.123962402,881.204833984,862.638977051,866.270751953,863.712890625,864.374938965,863.712890625,864.895935059
Pin Impedance,26,2017-12-01 14:26:25,0:00:10,1359.99157715,1359.92089844,1353.64172363,1364.95349121,1362.6361084,1360.71154785,1359.99157715,1344.34558105
Pin Impedance,27,2017-12-01 14:26:26,0:00:10,772.650634766,777.473449707,774.506286621,774.970947266,772.371032715,779.685180664,779.705078125,774.018737793
Pin Impedance,28,2017-12-01 14:26:26,0:00:11,812.700439453,812.812988281,820.756347656,804.64465332,801.803588867,805.707763672,809.148925781,829.40222168
Pin Impedance,29,2017-12-01 14:26:26,0:00:11,816.285461426,822.59161377,816.666381836,823.165222168,816.77722168,817.641723633,814.714660645,809.094543457
Pin Impedance,30,2017-12-01 14:26:26,0:00:11,829.08380127,841.608581543,821.610595703,825.84564209,822.894897461,823.111755371,823.111755371,819.654174805
Pin Impedance,31,2017-12-01 14:26:27,0:00:11,784.511291504,782.412963867,783.768432617,773.377685547,778.437561035,773.124816895,777.58215332,787.015258789
Pin Impedance,32,2017-12-01 14:26:27,0:00:12,788.366027832,798.075805664,781.434570312,788.44152832,784.45904541,789.065246582,790.341674805,792.890930176
Pin Impedance,33,2017-12-01 14:26:27,0:00:12,968.353759766,968.53137207,977.399108887,982.774108887,971.605895996,968.922058105,971.958862305,976.037902832
Pin Impedance,34,2017-12-01 14:26:27,0:00:12,829.588439941,831.280944824,829.444396973,827.809143066,847.257324219,833.141662598,829.916870117,829.306335449
Pin Impedance,35,2017-12-01 14:26:28,0:00:13,898.109130859,888.248291016,890.182556152,893.290527344,896.075866699,894.549072266,884.776245117,892.145751953
Pin Impedance,36,2017-12-01 14:26:28,0:00:13,803.379089355,802.655578613,806.062011719,800.757751465,802.985656738,807.509765625,799.57611084,800.951904297
Pin Impedance,37,2017-12-01 14:26:28,0:00:13,961.881469727,974.353637695,973.863464355,965.522644043,972.948120117,962.443237305,963.793029785,968.240661621
Pin Impedance,38,2017-12-01 14:26:29,0:00:13,843.277526855,838.976745605,839.600524902,841.556274414,840.348754883,845.207641602,845.508117676,833.657592773
Pin Impedance,39,2017-12-01 14:26:29,0:00:14,906.938232422,905.830566406,904.717102051,893.626342773,906.104858398,905.289428711,901.387817383,910.55255127
Pin Impedance,40,2017-12-01 14:26:29,0:00:14,888.077148438,885.302185059,880.881347656,883.937805176,883.367431641,881.699523926,884.753051758,883.937805176
