User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
lnelson,2017-11-03 12:52:33.513230,0:00:34.967918,Completed,BAE-DT131,10045,2515,X06665, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-03 12:52:37,0:00:03,1646.98669434,1653.94836426,1652.80395508,1650.7722168,1652.7265625,1648.13134766,1652.48242188,1650.01965332
Pin Impedance,2,2017-11-03 12:52:37,0:00:04,786.857666016,786.778869629,789.270568848,788.935974121,789.183105469,791.683044434,791.523193359,787.446533203
Pin Impedance,3,2017-11-03 12:52:37,0:00:04,1401.33544922,1380.40722656,1380.24523926,1376.80249023,1379.83508301,1380.90551758,1370.5838623,1375.98254395
Pin Impedance,4,2017-11-03 12:52:38,0:00:04,1959.67272949,1958.75390625,1959.29223633,1967.25012207,1960.1348877,1958.1463623,1963.97485352,1963.73974609
Pin Impedance,5,2017-11-03 12:52:38,0:00:04,1598.07409668,1592.26416016,1598.57714844,1601.59204102,1594.31799316,1601.45178223,1603.88439941,1600.15283203
Pin Impedance,6,2017-11-03 12:52:38,0:00:05,637.602539062,635.800292969,638.204528809,643.20526123,641.400024414,658.600036621,631.843322754,638.600036621
Pin Impedance,7,2017-11-03 12:52:38,0:00:05,596.84588623,597.545837402,598.858886719,597.101318359,593.50567627,596.487243652,598.248291016,601.592041016
Pin Impedance,8,2017-11-03 12:52:39,0:00:05,639.87890625,646.845397949,640.37878418,642.70135498,638.561645508,647.422607422,642.70135498,645.182922363
Pin Impedance,9,2017-11-03 12:52:39,0:00:05,1570.64196777,1578.77038574,1569.69714355,1580.56982422,1575.00512695,1581.90332031,1570.57727051,1574.95019531
Pin Impedance,10,2017-11-03 12:52:39,0:00:06,1597.71655273,1598.98095703,1598.56970215,1601.5994873,1596.76831055,1600.75292969,1597.84509277,1603.48278809
Pin Impedance,11,2017-11-03 12:52:40,0:00:06,1871.5645752,1874.41320801,1867.35778809,1871.82397461,1884.02038574,1871.07055664,1859.15734863,1872.20214844
Pin Impedance,12,2017-11-03 12:52:40,0:00:06,1703.14648438,1701.9576416,1691.79016113,1706.21044922,1697.26513672,1706.75158691,1701.16723633,1696.6348877
Pin Impedance,13,2017-11-03 12:52:40,0:00:07,613.613891602,633.444580078,610.081970215,622.028930664,613.778442383,612.275268555,629.832519531,608.029602051
Pin Impedance,14,2017-11-03 12:52:40,0:00:07,1082.70031738,1083.59814453,1069.68774414,1082.95336914,1073.61486816,1083.59814453,1071.03735352,1074.62084961
Pin Impedance,15,2017-11-03 12:52:41,0:00:07,575.975708008,573.62878418,566.93560791,573.006958008,573.62878418,571.147949219,564.578613281,569.474304199
Pin Impedance,16,2017-11-03 12:52:41,0:00:07,613.177001953,607.921020508,602.157775879,608.949890137,611.507141113,617.909362793,606.255737305,611.641235352
Pin Impedance,17,2017-11-03 12:52:41,0:00:08,1175.15100098,1186.93981934,1166.43774414,1171.42651367,1171.11657715,1174.69360352,1170.03637695,1180.69897461
Pin Impedance,18,2017-11-03 12:52:41,0:00:08,663.59777832,661.478637695,673.430053711,664.897766113,651.303283691,663.765014648,660.512695312,663.672363281
Pin Impedance,19,2017-11-03 12:52:42,0:00:08,1059.1340332,1059.68908691,1063.09216309,1063.35742188,1065.60449219,1062.85742188,1059.34790039,1066.81018066
Pin Impedance,20,2017-11-03 12:52:42,0:00:08,868.912536621,869.657409668,875.634643555,877.91796875,872.56060791,877.624633789,870.827758789,874.223083496
Pin Impedance,21,2017-11-03 12:52:42,0:00:09,466.554382324,461.566894531,464.302703857,464.036651611,463.249389648,467.888885498,465.241882324,476.472442627
Pin Impedance,22,2017-11-03 12:52:43,0:00:09,542.226867676,541.265197754,535.800354004,540.616333008,531.400024414,534.43145752,537.403015137,538.802368164
Pin Impedance,23,2017-11-03 12:52:43,0:00:09,1078.20446777,1085.08618164,1077.56201172,1079.2520752,1074.90698242,1075.02416992,1082.95336914,1083.36376953
Pin Impedance,24,2017-11-03 12:52:43,0:00:10,1115.13269043,1110.91174316,1108.38842773,1107.0411377,1107.0411377,1102.95959473,1106.26806641,1106.63183594
Pin Impedance,25,2017-11-03 12:52:43,0:00:10,503.600036621,496.614532471,501.243438721,507.252410889,507.466247559,502.410186768,499.601837158,508.01574707
Pin Impedance,26,2017-11-03 12:52:44,0:00:10,1009.53057861,1020.64001465,1019.5234375,1021.35693359,1022.48425293,1023.034729,1027.18688965,1028.94116211
Pin Impedance,27,2017-11-03 12:52:44,0:00:10,429.074584961,422.480773926,427.403778076,419.440093994,431.689697266,434.010375977,423.018920898,424.43963623
Pin Impedance,28,2017-11-03 12:52:44,0:00:11,467.428070068,463.624847412,466.181304932,468.702453613,468.086517334,461.683868408,465.725250244,466.682983398
Pin Impedance,29,2017-11-03 12:52:44,0:00:11,445.694976807,448.612304688,443.802886963,441.865356445,451.425506592,447.320922852,449.529754639,442.904052734
Pin Impedance,30,2017-11-03 12:52:45,0:00:11,460.027160645,457.223144531,464.939788818,462.588378906,466.344299316,471.682098389,462.472686768,461.806243896
Pin Impedance,31,2017-11-03 12:52:45,0:00:11,425.417449951,430.735412598,426.198303223,427.926391602,428.385345459,419.50088501,428.228912354,425.736999512
Pin Impedance,32,2017-11-03 12:52:45,0:00:12,424.699890137,430.601898193,433.021942139,430.332427979,435.717803955,426.381286621,433.702667236,429.057098389
Pin Impedance,33,2017-11-03 12:52:46,0:00:12,611.000793457,615.761291504,615.373840332,617.709472656,616.197998047,616.366760254,625.11517334,617.692504883
Pin Impedance,34,2017-11-03 12:52:46,0:00:12,455.244995117,453.415924072,454.070465088,455.834411621,462.611053467,438.718597412,456.807403564,450.619567871
Pin Impedance,35,2017-11-03 12:52:46,0:00:13,539.416320801,536.66003418,536.732727051,537.331359863,545.513549805,535.113098145,536.310546875,534.375366211
Pin Impedance,36,2017-11-03 12:52:46,0:00:13,427.649383545,421.674041748,426.107971191,448.545440674,429.194580078,425.747589111,428.712036133,424.0625
Pin Impedance,37,2017-11-03 12:52:47,0:00:13,606.768493652,603.947021484,600.932617188,601.227050781,610.319580078,601.881225586,611.471191406,600.47064209
Pin Impedance,38,2017-11-03 12:52:47,0:00:13,479.009399414,481.400054932,485.634643555,482.001037598,482.830200195,476.615142822,485.453399658,478.260375977
Pin Impedance,39,2017-11-03 12:52:47,0:00:14,582.81817627,575.757751465,583.829589844,584.154968262,582.670593262,577.56036377,582.416503906,575.538879395
Pin Impedance,40,2017-11-03 12:52:47,0:00:14,538.96661377,540.897399902,547.518920898,543.125244141,541.569030762,538.003723145,547.828430176,541.569030762
Pin Impedance,41,2017-11-03 12:52:48,0:00:14,432.001159668,434.802246094,420.26776123,438.206573486,440.20223999,434.222290039,439.400726318,424.775238037
Pin Impedance,42,2017-11-03 12:52:48,0:00:14,443.018066406,445.8800354,448.878601074,447.651641846,444.235290527,443.018066406,457.279998779,444.668426514
Pin Impedance,43,2017-11-03 12:52:48,0:00:15,405.621734619,399.422088623,411.601745605,403.044677734,404.200439453,403.044677734,398.207244873,407.612548828
Pin Impedance,44,2017-11-03 12:52:49,0:00:15,410.823577881,411.363586426,423.548095703,410.823577881,396.0050354,417.145050049,422.225067139,407.93258667
Pin Impedance,45,2017-11-03 12:52:49,0:00:15,501.426971436,494.313659668,503.035797119,494.485595703,506.854034424,493.258544922,500.21295166,499.312530518
Pin Impedance,46,2017-11-03 12:52:49,0:00:16,447.22366333,458.838745117,458.017456055,452.411315918,456.009857178,453.089385986,459.156829834,451.586090088
Pin Impedance,47,2017-11-03 12:52:49,0:00:16,562.185913086,565.031860352,564.384643555,561.506896973,571.405273438,566.403564453,572.24206543,565.031860352
Pin Impedance,48,2017-11-03 12:52:50,0:00:16,408.39440918,412.768707275,416.984405518,411.526428223,414.502105713,411.052307129,415.900238037,408.886291504
Pin Impedance,49,2017-11-03 12:52:50,0:00:16,658.800415039,648.919128418,646.758850098,655.14654541,653.331481934,646.758850098,656.81427002,652.672180176
Pin Impedance,50,2017-11-03 12:52:50,0:00:17,516.674926758,506.80569458,525.44934082,518.255737305,523.436706543,521.499755859,529.600769043,521.241760254
Pin Impedance,51,2017-11-03 12:52:50,0:00:17,453.877746582,433.018463135,441.807647705,438.626251221,436.601654053,433.881317139,438.443847656,438.443847656
Pin Impedance,52,2017-11-03 12:52:51,0:00:17,610.999206543,608.829223633,618.025878906,613.065246582,608.113464355,612.356079102,615.184509277,611.680480957
Pin Impedance,53,2017-11-03 12:52:51,0:00:17,657.954406738,657.970336914,659.464172363,658.716918945,657.097412109,653.902893066,655.890991211,659.069030762
Pin Impedance,54,2017-11-03 12:52:51,0:00:18,673.083190918,680.033081055,677.448913574,673.75958252,680.947875977,677.886413574,671.058837891,675.114807129
Pin Impedance,1,2017-11-03 12:52:52,0:00:18,547.877746582,547.320739746,551.552368164,540.832702637,554.086608887,551.552368164,554.476318359,547.113342285
Pin Impedance,2,2017-11-03 12:52:52,0:00:18,521.510314941,530.292358398,515.535644531,507.726318359,518.054992676,511.000976562,534.329467773,518.464050293
Pin Impedance,3,2017-11-03 12:52:52,0:00:19,507.906494141,511.675689697,511.469451904,508.694396973,511.469451904,508.86932373,513.190979004,509.132598877
Pin Impedance,4,2017-11-03 12:52:52,0:00:19,632.463439941,636.117126465,635.172424316,630.365783691,635.897033691,633.344299316,639.531066895,628.426635742
Pin Impedance,5,2017-11-03 12:52:53,0:00:19,456.684783936,454.493133545,465.27947998,456.185272217,465.405212402,452.75378418,460.027160645,452.919433594
Pin Impedance,6,2017-11-03 12:52:53,0:00:19,454.493133545,451.187316895,462.9168396,456.71105957,460.108673096,453.26373291,458.441925049,451.655853271
Pin Impedance,7,2017-11-03 12:52:53,0:00:20,455.896911621,456.6015625,471.61529541,456.615814209,463.802764893,456.807403564,461.202789307,456.400054932
Pin Impedance,8,2017-11-03 12:52:54,0:00:20,456.247741699,462.758026123,468.261688232,461.859283447,467.64944458,461.183258057,457.30078125,464.617034912
Pin Impedance,9,2017-11-03 12:52:54,0:00:20,436.371398926,443.269683838,455.405303955,439.960235596,439.329040527,437.14642334,446.363067627,456.344177246
Pin Impedance,10,2017-11-03 12:52:54,0:00:20,432.255706787,430.204589844,435.459533691,432.255706787,433.021942139,422.927886963,434.308654785,432.135406494
Pin Impedance,11,2017-11-03 12:52:54,0:00:21,545.671142578,549.888183594,552.747680664,542.70526123,539.942565918,554.92791748,550.668701172,544.303222656
Pin Impedance,12,2017-11-03 12:52:55,0:00:21,479.051147461,478.204986572,490.76776123,476.857421875,479.418395996,482.037353516,480.0,481.966796875
Pin Impedance,13,2017-11-03 12:52:55,0:00:21,450.693908691,450.818145752,451.217254639,454.15637207,451.459869385,454.92086792,454.532714844,454.92086792
Pin Impedance,14,2017-11-03 12:52:55,0:00:22,444.599822998,447.110717773,442.498596191,441.02154541,451.970123291,441.23916626,443.269683838,443.842315674
Pin Impedance,15,2017-11-03 12:52:55,0:00:22,530.818237305,520.096130371,525.800354004,525.632019043,524.60748291,523.255187988,522.200134277,522.000976562
Pin Impedance,16,2017-11-03 12:52:56,0:00:22,499.231414795,507.906494141,502.645996094,510.272491455,495.819519043,510.220550537,502.410186768,500.273925781
Pin Impedance,17,2017-11-03 12:52:56,0:00:22,662.83404541,659.320861816,650.884033203,656.452575684,652.297485352,658.635681152,651.663269043,650.542053223
