User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-11-30 12:53:30.876785,0:00:35.048307,Completed,BAE-DT132,10044,2515,X04858, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-30 12:53:34,0:00:03,1725.71179199,1728.1463623,1734.99890137,1723.86450195,1736.97729492,1722.24414062,1727.10766602,1725.81396484
Pin Impedance,2,2017-11-30 12:53:34,0:00:04,812.079406738,807.849609375,813.828613281,816.960205078,814.475280762,816.096191406,806.018615723,814.383789062
Pin Impedance,3,2017-11-30 12:53:35,0:00:04,1401.48852539,1395.43896484,1397.0690918,1400.43737793,1396.87438965,1393.57666016,1397.78393555,1397.9942627
Pin Impedance,4,2017-11-30 12:53:35,0:00:04,1933.76757812,1935.68029785,1933.54858398,1930.16320801,1944.36132812,1936.43798828,1941.19812012,1935.45983887
Pin Impedance,5,2017-11-30 12:53:35,0:00:04,1670.06738281,1680.4942627,1671.42871094,1681.46508789,1674.4744873,1675.87255859,1674.31237793,1681.6373291
Pin Impedance,6,2017-11-30 12:53:36,0:00:05,647.617919922,646.111450195,652.062133789,647.73449707,650.076904297,648.680175781,649.856933594,648.778076172
Pin Impedance,7,2017-11-30 12:53:36,0:00:05,603.43182373,611.138305664,604.833862305,612.209106445,608.857971191,609.906555176,616.662780762,610.442443848
Pin Impedance,8,2017-11-30 12:53:36,0:00:05,652.110412598,662.397155762,650.145385742,657.954406738,648.256896973,650.993835449,649.191833496,655.347229004
Pin Impedance,9,2017-11-30 12:53:36,0:00:05,1608.52258301,1600.265625,1610.73217773,1605.97045898,1609.33776855,1607.7076416,1614.44726562,1606.65893555
Pin Impedance,10,2017-11-30 12:53:37,0:00:06,1684.20666504,1683.15441895,1681.63842773,1691.17773438,1693.73083496,1691.99316406,1680.36572266,1692.10168457
Pin Impedance,11,2017-11-30 12:53:37,0:00:06,1953.43212891,1950.59069824,1952.93884277,1957.1472168,1954.94470215,1950.94360352,1957.02832031,1952.93884277
Pin Impedance,12,2017-11-30 12:53:37,0:00:06,1780.89868164,1776.9909668,1781.7409668,1775.14086914,1776.92993164,1779.05200195,1781.67614746,1778.74560547
Pin Impedance,13,2017-11-30 12:53:37,0:00:07,652.270629883,657.532531738,649.413574219,651.659423828,648.67401123,656.57598877,648.151245117,651.129760742
Pin Impedance,14,2017-11-30 12:53:38,0:00:07,1107.75537109,1111.27404785,1107.13769531,1107.23620605,1111.5682373,1105.92590332,1113.08044434,1106.58081055
Pin Impedance,15,2017-11-30 12:53:38,0:00:07,605.330505371,600.1875,600.033325195,598.339355469,597.997497559,602.423461914,597.998352051,602.070617676
Pin Impedance,16,2017-11-30 12:53:38,0:00:07,640.600524902,643.534790039,639.425537109,640.0703125,643.534790039,642.36517334,640.488098145,637.496643066
Pin Impedance,17,2017-11-30 12:53:39,0:00:08,1204.59533691,1201.91882324,1207.23901367,1201.25354004,1205.82751465,1199.43200684,1207.90112305,1196.69750977
Pin Impedance,18,2017-11-30 12:53:39,0:00:08,699.280334473,700.160705566,696.839294434,697.699768066,693.669250488,704.716247559,694.643798828,703.427307129
Pin Impedance,19,2017-11-30 12:53:39,0:00:08,1082.0,1081.57019043,1075.26464844,1080.44799805,1081.8548584,1075.80114746,1085.15856934,1078.9777832
Pin Impedance,20,2017-11-30 12:53:39,0:00:08,892.839294434,896.413391113,896.603027344,899.895568848,897.557250977,899.235778809,900.960571289,895.571350098
Pin Impedance,21,2017-11-30 12:53:40,0:00:09,497.031188965,505.916992188,496.303344727,496.194519043,495.395812988,501.473815918,493.137908936,500.217956543
Pin Impedance,22,2017-11-30 12:53:40,0:00:09,568.106506348,572.521606445,568.335266113,567.225708008,569.645507812,566.484802246,577.293701172,564.40057373
