User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
kkay,2017-11-13 16:46:00.869273,0:00:34.904328,Completed,BAE-DT119,47,2515,X06660, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-13 16:46:04,0:00:03,1802.61279297,1804.81140137,1797.41870117,1804.83605957,1803.41064453,1798.62670898,1805.22045898,1803.21606445
Pin Impedance,2,2017-11-13 16:46:04,0:00:03,908.432739258,909.488891602,907.146057129,908.079284668,903.321105957,914.713623047,908.841552734,904.849731445
Pin Impedance,3,2017-11-13 16:46:05,0:00:04,1518.00524902,1515.40161133,1521.40002441,1516.40002441,1517.80004883,1518.00524902,1516.00292969,1518.60754395
Pin Impedance,4,2017-11-13 16:46:05,0:00:04,2056.40869141,2047.85986328,2047.52172852,2045.04797363,2051.92797852,2048.65332031,2052.21875,2050.2890625
Pin Impedance,5,2017-11-13 16:46:05,0:00:04,1735.01184082,1735.52526855,1732.99072266,1737.20263672,1736.14086914,1735.46105957,1737.03344727,1737.20263672
Pin Impedance,6,2017-11-13 16:46:05,0:00:05,743.024230957,738.203918457,740.611938477,741.600952148,744.422607422,747.219482422,739.200256348,747.010681152
Pin Impedance,7,2017-11-13 16:46:06,0:00:05,691.537414551,694.505554199,696.855773926,692.31854248,695.600463867,692.162536621,690.289794922,692.162536621
Pin Impedance,8,2017-11-13 16:46:06,0:00:05,744.503173828,746.750305176,741.104553223,743.266418457,741.437133789,744.419921875,749.24230957,742.261413574
Pin Impedance,9,2017-11-13 16:46:06,0:00:05,1717.00024414,1716.80163574,1715.80566406,1719.40515137,1717.20617676,1718.21679688,1716.60424805,1716.40783691
Pin Impedance,10,2017-11-13 16:46:07,0:00:06,1756.33288574,1753.52819824,1757.30932617,1750.9074707,1754.32092285,1756.33288574,1753.52819824,1757.91833496
Pin Impedance,11,2017-11-13 16:46:07,0:00:06,1940.59887695,1942.52233887,1942.34521484,1941.6817627,1944.50427246,1938.67614746,1942.82189941,1937.59570312
Pin Impedance,12,2017-11-13 16:46:07,0:00:06,1835.98071289,1833.44189453,1831.88696289,1837.04650879,1832.29724121,1838.19262695,1836.47412109,1836.30993652
Pin Impedance,13,2017-11-13 16:46:07,0:00:06,713.05682373,718.056396484,722.696350098,715.944824219,718.487304688,717.697021484,712.875854492,719.890258789
Pin Impedance,14,2017-11-13 16:46:08,0:00:07,1202.87695312,1202.67248535,1198.50109863,1198.56958008,1203.61865234,1198.50109863,1202.06652832,1200.19702148
Pin Impedance,15,2017-11-13 16:46:08,0:00:07,661.823242188,665.541137695,661.734863281,664.133239746,664.407226562,665.323974609,661.823242188,660.819213867
Pin Impedance,16,2017-11-13 16:46:08,0:00:07,704.60559082,707.542907715,710.361206055,707.956237793,704.846801758,708.070617676,707.542907715,710.127441406
Pin Impedance,17,2017-11-13 16:46:08,0:00:08,1290.08874512,1286.36694336,1291.44604492,1288.61975098,1290.60681152,1285.05957031,1290.7121582,1290.88183594
Pin Impedance,18,2017-11-13 16:46:09,0:00:08,762.000671387,765.800231934,762.200134277,760.0,761.60949707,762.010498047,764.605102539,758.600036621
