User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-11-06 14:54:24.290107,0:00:34.869449,Completed,BAE-DT131,10045,2515,X05075, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-06 14:54:28,0:00:03,1676.34838867,1678.83325195,1677.24206543,1677.47070312,1676.67822266,1676.64343262,1186.62084961,1680.2487793
Pin Impedance,2,2017-11-06 14:54:28,0:00:04,808.418212891,813.329589844,812.723815918,814.068786621,807.745605469,811.732116699,811.178161621,809.299072266
Pin Impedance,3,2017-11-06 14:54:28,0:00:04,1395.95166016,1402.60119629,1398.20202637,1396.24926758,1390.46936035,1390.95727539,1396.28967285,1401.24414062
Pin Impedance,4,2017-11-06 14:54:29,0:00:04,1955.08081055,1960.90917969,1954.99621582,1955.92285156,1952.38720703,1959.52770996,1956.83520508,1958.1463623
Pin Impedance,5,2017-11-06 14:54:29,0:00:05,1643.96862793,1645.77575684,1643.3104248,1649.19921875,1640.34936523,1649.0657959,1639.38793945,1648.05639648
Pin Impedance,6,2017-11-06 14:54:29,0:00:05,671.703796387,672.025268555,667.704284668,670.458068848,672.703491211,670.620605469,670.33795166,672.358520508
Pin Impedance,7,2017-11-06 14:54:29,0:00:05,636.479370117,641.208984375,632.393859863,641.894836426,637.82208252,641.978210449,633.801208496,641.474060059
Pin Impedance,8,2017-11-06 14:54:30,0:00:05,680.88470459,684.328125,680.824523926,683.839172363,675.849853516,685.123352051,678.67590332,687.404541016
Pin Impedance,9,2017-11-06 14:54:30,0:00:06,1619.21582031,1621.14929199,1612.6204834,1618.6427002,1616.18847656,1620.92224121,1618.70068359,1619.1776123
Pin Impedance,10,2017-11-06 14:54:30,0:00:06,1656.89135742,1657.44506836,1656.33813477,1652.17736816,1657.72436523,1653.83972168,1654.39929199,1659.38574219
Pin Impedance,11,2017-11-06 14:54:31,0:00:07,1927.62780762,1931.14599609,1921.73095703,1928.43591309,1927.08093262,1923.89709473,1925.0592041,1925.79650879
Pin Impedance,12,2017-11-06 14:54:31,0:00:07,1781.41540527,1785.20947266,1785.65393066,1784.97949219,1785.83459473,1782.41552734,1787.02709961,1781.37731934
Pin Impedance,13,2017-11-06 14:54:31,0:00:07,661.592773438,661.453674316,660.819213867,663.286499023,661.569335938,665.676330566,661.184570312,660.046203613
Pin Impedance,14,2017-11-06 14:54:31,0:00:07,1134.29846191,1134.45007324,1133.8293457,1124.60876465,1134.60351562,1131.01196289,1137.88439941,1128.20959473
Pin Impedance,15,2017-11-06 14:54:32,0:00:07,644.95892334,644.864318848,648.087158203,648.256896973,648.346374512,643.093322754,648.346374512,644.95892334
Pin Impedance,16,2017-11-06 14:54:32,0:00:08,683.710449219,682.360595703,691.338562012,688.011657715,689.09362793,686.598876953,688.32043457,683.03515625
Pin Impedance,17,2017-11-06 14:54:32,0:00:08,1207.91552734,1209.05297852,1207.13208008,1209.05297852,1211.86999512,1209.69421387,1212.38696289,1211.37817383
Pin Impedance,18,2017-11-06 14:54:32,0:00:08,725.981384277,728.155212402,726.509460449,723.690551758,728.343994141,722.398803711,730.737976074,722.398803711
Pin Impedance,19,2017-11-06 14:54:33,0:00:08,1101.19250488,1096.19433594,1100.57165527,1095.28540039,1095.41088867,1097.43786621,1099.46582031,1092.90441895
Pin Impedance,20,2017-11-06 14:54:33,0:00:09,914.479614258,912.423156738,919.678771973,916.887145996,918.375183105,915.775634766,920.117919922,915.664245605
Pin Impedance,21,2017-11-06 14:54:33,0:00:09,502.841918945,504.004974365,513.429626465,504.828674316,510.908996582,505.332550049,508.69342041,500.624603271
Pin Impedance,22,2017-11-06 14:54:34,0:00:10,577.279846191,578.070068359,583.16809082,573.250366211,584.911132812,575.701293945,578.337280273,568.205932617
Pin Impedance,23,2017-11-06 14:54:34,0:00:10,1113.9407959,1114.21716309,1112.53320312,1113.16894531,1111.23217773,1108.7298584,1113.44372559,1108.44848633
Pin Impedance,24,2017-11-06 14:54:35,0:00:10,1145.27294922,1134.6126709,1144.31860352,1143.42333984,1143.97290039,1139.15405273,1144.77246094,1144.15246582
Pin Impedance,25,2017-11-06 14:54:35,0:00:11,536.634887695,540.208312988,541.926208496,535.373718262,538.817199707,540.081481934,543.801452637,541.299377441
