User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
kkay,2017-11-10 09:33:53.152971,0:00:34.898454,Completed,BAE-DT119,47,2515,X06643, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-10 09:33:56,0:00:03,1806.81604004,1811.42651367,1808.60742188,1814.40930176,1808.24255371,1808.20153809,1812.41271973,1808.81201172
Pin Impedance,2,2017-11-10 09:33:57,0:00:04,909.488891602,910.674499512,915.775634766,910.565734863,907.317504883,913.604919434,903.515380859,909.488891602
Pin Impedance,3,2017-11-10 09:33:57,0:00:04,1528.81420898,1527.41516113,1530.62768555,1526.64111328,1528.6340332,1525.03283691,1528.42529297,1529.86047363
Pin Impedance,4,2017-11-10 09:33:57,0:00:04,2055.2434082,2053.6418457,2047.52172852,2050.03662109,2046.39196777,2045.8458252,2048.90527344,2045.00805664
Pin Impedance,5,2017-11-10 09:33:57,0:00:04,1756.23828125,1757.44958496,1753.0559082,1759.87646484,1755.25268555,1759.87646484,1758.47460938,1757.4942627
Pin Impedance,6,2017-11-10 09:33:58,0:00:05,750.0,749.002685547,755.016540527,747.406860352,753.204467773,750.208618164,746.600952148,752.000671387
Pin Impedance,7,2017-11-10 09:33:58,0:00:05,701.276672363,698.602172852,697.552856445,698.461853027,701.911682129,702.684143066,702.965881348,698.960632324
Pin Impedance,8,2017-11-10 09:33:58,0:00:05,748.825744629,754.539611816,748.88848877,752.659973145,751.77923584,749.24230957,751.399353027,750.434570312
Pin Impedance,9,2017-11-10 09:33:59,0:00:05,1706.40673828,1703.21606445,1704.60144043,1707.61962891,1701.8170166,1707.02368164,1703.80078125,1698.80078125
Pin Impedance,10,2017-11-10 09:33:59,0:00:06,1761.00256348,1756.20068359,1761.20068359,1758.00024414,1759.81164551,1760.60949707,1759.00109863,1758.2019043
Pin Impedance,11,2017-11-10 09:33:59,0:00:06,1928.15979004,1926.07922363,1929.00512695,1923.4876709,1926.15942383,1920.86572266,1924.16210938,1926.55883789
Pin Impedance,12,2017-11-10 09:33:59,0:00:06,1745.11035156,1746.50512695,1737.90270996,1740.8104248,1743.95007324,1743.01867676,1744.64489746,1739.29760742
Pin Impedance,13,2017-11-10 09:34:00,0:00:06,721.560119629,718.872741699,716.392333984,721.844848633,716.392333984,722.520568848,719.820129395,714.988098145
Pin Impedance,14,2017-11-10 09:34:00,0:00:07,1196.70385742,1192.62145996,1198.85986328,1194.11303711,1196.70385742,1201.25354004,1193.95556641,1198.71142578
Pin Impedance,15,2017-11-10 09:34:00,0:00:07,666.688110352,662.46282959,663.10333252,662.2265625,667.586669922,659.909851074,664.133239746,660.415039062
Pin Impedance,16,2017-11-10 09:34:00,0:00:07,701.556152344,706.325683594,703.398864746,710.450561523,700.260681152,703.505493164,704.809204102,704.60559082
Pin Impedance,17,2017-11-10 09:34:01,0:00:08,1279.76330566,1279.63818359,1283.2010498,1280.37536621,1275.90161133,1281.17602539,1277.54956055,1279.57800293
Pin Impedance,18,2017-11-10 09:34:01,0:00:08,764.411560059,764.22052002,763.204406738,760.208496094,764.605102539,763.807556152,762.406738281,760.622131348
Pin Impedance,19,2017-11-10 09:34:01,0:00:08,1169.04406738,1170.23156738,1165.57666016,1168.06201172,1167.63439941,1165.13391113,1168.93200684,1170.23156738
Pin Impedance,20,2017-11-10 09:34:02,0:00:08,974.030822754,975.443481445,973.228149414,975.053344727,974.83795166,977.061950684,975.578796387,975.649536133
Pin Impedance,21,2017-11-10 09:34:02,0:00:09,535.695800781,537.998168945,544.629211426,543.478637695,538.576843262,541.602233887,538.576843262,544.281188965
Pin Impedance,22,2017-11-10 09:34:02,0:00:09,621.308288574,619.904846191,619.290710449,617.274658203,621.051513672,618.328369141,620.020141602,616.484375
Pin Impedance,23,2017-11-10 09:34:02,0:00:09,1189.45532227,1192.47814941,1190.67126465,1195.7545166,1190.96594238,1189.35693359,1193.99157715,1191.42480469
Pin Impedance,24,2017-11-10 09:34:03,0:00:10,1207.98059082,1213.31445312,1210.03967285,1213.61975098,1208.95703125,1213.50939941,1209.50280762,1208.41137695
Pin Impedance,25,2017-11-10 09:34:03,0:00:10,611.005737305,608.054260254,609.329162598,604.974365234,611.778564453,610.099182129,606.149291992,608.473510742
Pin Impedance,26,2017-11-10 09:34:03,0:00:10,1152.60058594,1150.83447266,1149.42504883,1148.4342041,1156.35717773,1148.89733887,1149.95690918,1145.31481934
Pin Impedance,27,2017-11-10 09:34:03,0:00:10,518.046325684,523.160583496,519.576721191,525.729980469,516.884887695,515.104858398,520.220153809,516.884887695
Pin Impedance,28,2017-11-10 09:34:04,0:00:11,562.645507812,559.164550781,561.528259277,560.482849121,561.528259277,569.337341309,564.628173828,564.349182129
Pin Impedance,29,2017-11-10 09:34:04,0:00:11,552.725952148,544.655883789,550.826660156,544.585144043,550.880187988,548.344787598,547.727111816,548.963562012
Pin Impedance,30,2017-11-10 09:34:04,0:00:11,556.577026367,559.394287109,557.985656738,556.198730469,554.159729004,553.396789551,559.651672363,555.810241699
Pin Impedance,31,2017-11-10 09:34:05,0:00:11,529.083190918,529.83013916,527.006652832,530.495056152,524.931396484,529.083190918,529.749023438,529.083190918
Pin Impedance,32,2017-11-10 09:34:05,0:00:12,538.677062988,534.93927002,534.315429688,533.526000977,536.406555176,538.353942871,531.331359863,538.446838379
Pin Impedance,33,2017-11-10 09:34:05,0:00:12,734.022460938,731.196960449,737.653015137,730.458740234,734.022460938,732.486877441,736.17388916,739.280761719
Pin Impedance,34,2017-11-10 09:34:05,0:00:12,561.615539551,563.474914551,562.392211914,557.853027344,556.917419434,558.950805664,560.208862305,557.395751953
Pin Impedance,35,2017-11-10 09:34:06,0:00:12,653.380432129,654.819030762,654.092529297,653.404907227,651.310241699,654.119995117,656.233215332,654.855712891
Pin Impedance,36,2017-11-10 09:34:06,0:00:13,534.438964844,529.597961426,530.940673828,532.962463379,534.438964844,534.438964844,533.700317383,533.638427734
Pin Impedance,37,2017-11-10 09:34:06,0:00:13,737.586608887,732.675231934,739.61138916,733.223022461,740.348571777,731.641967773,732.675231934,740.121582031
Pin Impedance,38,2017-11-10 09:34:06,0:00:13,583.216064453,587.715087891,585.395568848,585.820800781,584.760620117,585.19140625,586.307922363,579.905151367
