User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
kkay,2017-11-10 09:27:54.175771,0:00:35.057372,Completed,BAE-DT123,00000004,2515,X06644, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-10 09:27:57,0:00:03,1855.98815918,1857.72680664,1851.32385254,1858.98706055,1853.36047363,1854.28417969,1855.51098633,1853.6550293
Pin Impedance,2,2017-11-10 09:27:58,0:00:04,1109.62341309,1110.20092773,1109.62341309,1114.62329102,1106.61730957,1107.63037109,1108.00048828,1110.85058594
Pin Impedance,3,2017-11-10 09:27:58,0:00:04,1635.98193359,1632.51037598,1639.01831055,1633.16162109,1638.25878906,1639.23913574,1631.859375,1639.77807617
Pin Impedance,4,2017-11-10 09:27:58,0:00:04,2374.22705078,2370.1105957,2370.28369141,2363.25073242,2373.88549805,2363.9375,2369.59594727,2371.65625
Pin Impedance,5,2017-11-10 09:27:59,0:00:04,1803.27258301,1805.96398926,1799.68798828,1802.37976074,1808.13964844,1799.5625,1805.83947754,1802.89819336
Pin Impedance,6,2017-11-10 09:27:59,0:00:05,973.432067871,973.51373291,970.443725586,974.893310547,973.203491211,966.718139648,975.119506836,972.230407715
Pin Impedance,7,2017-11-10 09:27:59,0:00:05,907.220458984,902.229431152,906.406616211,906.148986816,897.811218262,900.032226562,898.623962402,905.022094727
Pin Impedance,8,2017-11-10 09:27:59,0:00:05,948.232543945,945.568603516,950.440979004,943.700134277,944.62902832,945.442199707,949.412963867,950.793884277
Pin Impedance,9,2017-11-10 09:28:00,0:00:06,1830.58300781,1832.95849609,1826.87988281,1828.72766113,1831.00244141,1827.31738281,1829.17248535,1828.07543945
Pin Impedance,10,2017-11-10 09:28:00,0:00:06,1874.27990723,1872.23742676,1873.30749512,1875.36657715,1872.12316895,1871.67651367,1871.36157227,1868.6394043
Pin Impedance,11,2017-11-10 09:28:00,0:00:06,1988.60852051,1987.15576172,1990.89379883,1991.92895508,1985.44836426,1993.1003418,1987.21166992,1987.80004883
Pin Impedance,12,2017-11-10 09:28:01,0:00:06,1842.16015625,1840.55456543,1842.93493652,1843.66186523,1841.96118164,1843.85351562,1838.22631836,1840.40893555
Pin Impedance,13,2017-11-10 09:28:01,0:00:07,936.190124512,939.057495117,938.629882812,934.711181641,941.172119141,936.830810547,940.962280273,941.811523438
Pin Impedance,14,2017-11-10 09:28:01,0:00:07,1343.48840332,1338.02880859,1334.52160645,1336.77709961,1338.39086914,1335.10192871,1342.63171387,1337.15075684
Pin Impedance,15,2017-11-10 09:28:01,0:00:07,876.749694824,883.190246582,875.773925781,884.038452148,880.434570312,884.887023926,885.735839844,880.160217285
Pin Impedance,16,2017-11-10 09:28:02,0:00:07,917.80279541,913.617553711,918.896057129,916.100952148,921.377258301,917.48626709,916.674987793,918.896057129
Pin Impedance,17,2017-11-10 09:28:02,0:00:08,1430.10839844,1423.13806152,1427.22180176,1425.14453125,1430.07836914,1432.24475098,1423.89916992,1432.87756348
Pin Impedance,18,2017-11-10 09:28:02,0:00:08,974.245361328,980.194396973,973.926086426,972.13684082,971.914611816,972.548217773,979.123046875,975.834533691
