User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-11-09 16:58:26.808773,0:00:35.006189,Completed,BAE-DT119,47,2515,X06652, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-09 16:58:30,0:00:03,1788.80065918,1792.00024414,1786.00109863,1787.00024414,1789.60131836,1789.40014648,1794.40490723,1790.20056152
Pin Impedance,2,2017-11-09 16:58:30,0:00:04,901.911865234,907.317504883,905.737243652,908.614868164,905.260192871,909.84173584,908.396911621,908.312744141
Pin Impedance,3,2017-11-09 16:58:31,0:00:04,1518.80090332,1513.2019043,1517.20959473,1514.22912598,1516.40002441,1520.00817871,1518.60888672,1524.41101074
Pin Impedance,4,2017-11-09 16:58:31,0:00:04,2056.95410156,2055.02539062,2053.34863281,2050.2890625,2053.34863281,2045.29992676,2053.34863281,2048.86938477
Pin Impedance,5,2017-11-09 16:58:31,0:00:04,1733.68078613,1736.92895508,1731.66333008,1734.73718262,1733.24267578,1735.69873047,1738.59741211,1731.04968262
Pin Impedance,6,2017-11-09 16:58:31,0:00:05,748.409667969,744.603271484,746.804504395,750.0,748.000671387,751.400024414,746.804504395,745.821044922
Pin Impedance,7,2017-11-09 16:58:32,0:00:05,697.969909668,698.721679688,698.262145996,695.301391602,701.22467041,699.37689209,698.412475586,702.003540039
Pin Impedance,8,2017-11-09 16:58:32,0:00:05,749.321044922,748.73828125,742.927307129,747.909057617,748.73828125,742.343566895,749.909973145,748.423034668
Pin Impedance,9,2017-11-09 16:58:32,0:00:05,1736.25170898,1738.45483398,1735.06481934,1736.6361084,1734.04870605,1734.85327148,1733.66662598,1732.05664062
Pin Impedance,10,2017-11-09 16:58:32,0:00:06,1754.23205566,1753.82006836,1757.22619629,1755.41479492,1755.06408691,1761.46557617,1755.25268555,1756.6541748
Pin Impedance,11,2017-11-09 16:58:33,0:00:06,1981.13598633,1978.38012695,1981.03857422,1980.18908691,1982.30297852,1977.75756836,1979.984375,1982.53503418
Pin Impedance,12,2017-11-09 16:58:33,0:00:06,1834.0612793,1831.27966309,1827.93103027,1831.33825684,1829.3782959,1829.69396973,1833.49389648,1829.32177734
Pin Impedance,13,2017-11-09 16:58:33,0:00:07,724.492919922,727.008239746,727.695678711,727.519775391,723.309753418,729.538208008,727.008239746,729.098754883
Pin Impedance,14,2017-11-09 16:58:34,0:00:07,1226.16674805,1227.66320801,1230.66040039,1226.3380127,1228.99023438,1228.67810059,1223.26000977,1230.57263184
Pin Impedance,15,2017-11-09 16:58:34,0:00:07,677.443725586,679.120727539,679.36517334,683.717041016,680.773803711,677.189758301,682.437561035,682.949462891
Pin Impedance,16,2017-11-09 16:58:34,0:00:07,730.097229004,730.19720459,726.722106934,729.441589355,725.416442871,729.543029785,728.686462402,729.10357666
Pin Impedance,17,2017-11-09 16:58:34,0:00:08,1300.28039551,1298.19335938,1303.23632812,1301.21948242,1302.43151855,1302.56359863,1299.54223633,1302.43151855
Pin Impedance,18,2017-11-09 16:58:35,0:00:08,785.674255371,786.227722168,783.661254883,781.227905273,785.063720703,781.466552734,785.432983398,786.285583496
Pin Impedance,19,2017-11-09 16:58:35,0:00:08,1190.41589355,1195.75793457,1191.82543945,1193.99707031,1194.64477539,1193.23510742,1196.70251465,1190.1907959
Pin Impedance,20,2017-11-09 16:58:35,0:00:08,993.941650391,993.13494873,993.201416016,989.773681641,991.788818359,993.340332031,990.588195801,994.752746582
Pin Impedance,21,2017-11-09 16:58:36,0:00:09,552.326904297,554.62512207,556.36138916,550.444335938,555.931640625,551.598571777,548.722167969,551.020874023
Pin Impedance,22,2017-11-09 16:58:36,0:00:09,633.855651855,638.245239258,633.499023438,633.67578125,631.921691895,629.414001465,632.710021973,632.095703125
Pin Impedance,23,2017-11-09 16:58:36,0:00:09,1209.10961914,1209.40478516,1210.52050781,1216.35852051,1209.50646973,1211.37158203,1210.58044434,1210.7154541
Pin Impedance,24,2017-11-09 16:58:36,0:00:10,1238.03759766,1232.3996582,1240.85656738,1234.57202148,1232.93225098,1235.1036377,1230.64904785,1235.86572266
Pin Impedance,25,2017-11-09 16:58:37,0:00:10,624.311645508,621.136047363,617.547546387,620.503845215,623.810852051,616.429260254,621.910766602,617.909362793
Pin Impedance,26,2017-11-09 16:58:37,0:00:10,1166.54406738,1167.57739258,1166.81188965,1170.51831055,1165.65002441,1168.34326172,1169.36096191,1166.93444824
Pin Impedance,27,2017-11-09 16:58:37,0:00:10,520.735046387,523.416687012,525.594909668,521.878356934,523.687866211,523.803405762,519.327453613,522.647094727
Pin Impedance,28,2017-11-09 16:58:37,0:00:11,580.424865723,571.401794434,579.672302246,572.05682373,576.94543457,573.184936523,575.633544922,577.996520996
Pin Impedance,29,2017-11-09 16:58:38,0:00:11,556.320922852,556.493469238,549.583496094,553.962097168,554.260742188,553.962097168,556.60760498,554.581848145
Pin Impedance,30,2017-11-09 16:58:38,0:00:11,560.422180176,559.915161133,561.471252441,559.014282227,558.243652344,558.881896973,554.79095459,557.473754883
Pin Impedance,31,2017-11-09 16:58:38,0:00:11,531.82800293,538.888671875,536.310546875,536.809082031,534.899047852,540.459960938,534.506286621,536.22479248
Pin Impedance,32,2017-11-09 16:58:39,0:00:12,540.70324707,542.059020996,540.764282227,539.35144043,540.378601074,534.259277344,537.264343262,539.179016113
Pin Impedance,33,2017-11-09 16:58:39,0:00:12,747.475769043,752.452636719,744.650268555,746.801818848,748.150390625,743.372070312,750.976013184,741.890808105
Pin Impedance,34,2017-11-09 16:58:39,0:00:12,570.350769043,570.056152344,574.569396973,574.276916504,571.129577637,574.720825195,571.608276367,570.035949707
Pin Impedance,35,2017-11-09 16:58:39,0:00:13,661.175476074,656.987792969,658.335021973,656.233215332,658.347167969,660.492248535,658.347167969,662.568481445
Pin Impedance,36,2017-11-09 16:58:40,0:00:13,542.981567383,548.504333496,543.654296875,545.002746582,547.153564453,547.288757324,550.044555664,543.722351074
Pin Impedance,37,2017-11-09 16:58:40,0:00:13,745.203979492,741.890808105,742.031005859,744.526672363,738.260803223,743.174255371,740.287780762,737.522888184
Pin Impedance,38,2017-11-09 16:58:40,0:00:13,581.455078125,578.641540527,578.993103027,577.234802246,578.498046875,577.723999023,580.538513184,581.945861816
Pin Impedance,39,2017-11-09 16:58:40,0:00:14,658.553710938,658.593200684,660.049255371,659.461914062,662.148010254,655.222106934,660.693603516,659.931030273
Pin Impedance,40,2017-11-09 16:58:41,0:00:14,632.344848633,634.448608398,628.866455078,633.107421875,630.242004395,629.517272949,632.311645508,633.148498535
Pin Impedance,41,2017-11-09 16:58:41,0:00:14,535.085998535,535.32232666,542.122680664,536.991638184,539.807373047,539.037109375,533.045959473,540.223999023
Pin Impedance,42,2017-11-09 16:58:41,0:00:14,565.322021484,568.141723633,565.435241699,561.741943359,566.41418457,558.054626465,563.695861816,561.328796387
Pin Impedance,43,2017-11-09 16:58:42,0:00:15,510.154876709,511.0,509.78918457,510.442932129,508.37878418,510.00491333,511.95703125,510.00491333
Pin Impedance,44,2017-11-09 16:58:42,0:00:15,521.359741211,520.612121582,523.894042969,525.513061523,520.784973145,524.931396484,524.183166504,521.536193848
Pin Impedance,45,2017-11-09 16:58:42,0:00:15,600.496459961,599.21282959,599.730773926,601.518920898,602.28894043,600.88104248,603.059692383,603.314208984
Pin Impedance,46,2017-11-09 16:58:42,0:00:16,556.198730469,556.64440918,554.923400879,557.096923828,554.692687988,558.112915039,559.270935059,557.218994141
Pin Impedance,47,2017-11-09 16:58:43,0:00:16,695.189880371,704.420349121,702.933837891,705.113464355,702.25994873,703.631286621,702.979370117,698.017883301
Pin Impedance,48,2017-11-09 16:58:43,0:00:16,517.788574219,517.556762695,521.794006348,518.299133301,519.042358398,522.610778809,519.786499023,524.691345215
Pin Impedance,49,2017-11-09 16:58:43,0:00:16,778.082885742,778.01348877,771.556884766,774.516601562,779.359375,772.295898438,776.742553711,775.731933594
Pin Impedance,50,2017-11-09 16:58:43,0:00:17,613.766235352,615.652526855,612.830322266,617.828430176,610.327758789,615.481140137,617.511108398,613.294372559
Pin Impedance,51,2017-11-09 16:58:44,0:00:17,521.238891602,518.167907715,521.110351562,521.510314941,518.934509277,523.286743164,523.927490234,526.10357666
Pin Impedance,52,2017-11-09 16:58:44,0:00:17,726.2265625,728.354309082,729.178283691,726.276123047,727.65447998,726.955322266,729.768432617,726.993835449
