User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
scarrell,2017-10-26 14:35:01.331398,0:00:35.006468,Completed,BAE-DT132,10044,2515,X04935, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-10-26 14:35:05,0:00:03,1710.8293457,1706.40942383,1708.85754395,1763.33544922,1704.09887695,1708.04125977,1708.18554688,1703.5222168
Pin Impedance,2,2017-10-26 14:35:05,0:00:04,812.124389648,810.808227539,809.594970703,809.031494141,810.713256836,814.103820801,808.839294434,819.180053711
Pin Impedance,3,2017-10-26 14:35:05,0:00:04,1394.12512207,1397.69274902,1385.65258789,1395.15197754,1396.14648438,1399.50061035,1388.93664551,1400.57312012
Pin Impedance,4,2017-10-26 14:35:05,0:00:04,1939.73327637,1945.64794922,1942.72229004,1942.35546875,1946.63427734,1941.11328125,1946.09814453,1943.20153809
Pin Impedance,5,2017-10-26 14:35:06,0:00:04,1646.51904297,1645.12158203,1650.71166992,1644.74987793,1648.50720215,1647.70056152,1648.13378906,1648.94152832
Pin Impedance,6,2017-10-26 14:35:06,0:00:05,651.601135254,658.02734375,659.639282227,662.200134277,653.833312988,657.602478027,651.473693848,653.833312988
Pin Impedance,7,2017-10-26 14:35:06,0:00:05,610.020507812,608.330505371,603.067138672,609.734375,610.184387207,611.310058594,605.957092285,611.75567627
Pin Impedance,8,2017-10-26 14:35:07,0:00:05,655.14654541,657.565185547,657.891357422,653.734680176,653.734680176,650.699645996,656.064025879,650.993835449
Pin Impedance,9,2017-10-26 14:35:07,0:00:05,1582.37353516,1575.6204834,1584.11010742,1580.16357422,1580.7421875,1585.63867188,1587.47912598,1581.45751953
Pin Impedance,10,2017-10-26 14:35:07,0:00:06,1653.50842285,1655.13806152,1650.13964844,1648.98181152,1647.93017578,1654.08862305,1643.51147461,1651.77026367
Pin Impedance,11,2017-10-26 14:35:07,0:00:06,1864.99780273,1864.54101562,1864.03857422,1868.5020752,1864.4017334,1860.80334473,1865.49719238,1864.32287598
Pin Impedance,12,2017-10-26 14:35:08,0:00:06,1719.4909668,1718.94909668,1725.07678223,1719.73608398,1722.79833984,1722.07458496,1724.23571777,1710.89831543
Pin Impedance,13,2017-10-26 14:35:08,0:00:07,613.809387207,618.205444336,617.823608398,620.815612793,614.833312988,616.421936035,614.225524902,619.606323242
Pin Impedance,14,2017-10-26 14:35:08,0:00:07,1078.72607422,1079.19641113,1071.57543945,1079.47998047,1072.80004883,1075.34594727,1067.08618164,1075.80859375
Pin Impedance,15,2017-10-26 14:35:08,0:00:07,553.686706543,558.014343262,557.896972656,557.82611084,557.108581543,554.044250488,553.797790527,557.218994141
Pin Impedance,16,2017-10-26 14:35:09,0:00:07,595.813720703,596.299438477,596.020996094,590.817260742,599.403869629,594.117858887,601.739135742,587.057922363
Pin Impedance,17,2017-10-26 14:35:09,0:00:08,1178.42272949,1174.68713379,1172.10791016,1179.01062012,1179.0135498,1176.84875488,1174.26574707,1177.33679199
Pin Impedance,18,2017-10-26 14:35:09,0:00:08,651.629516602,658.45880127,649.214904785,650.613586426,649.003051758,653.801940918,644.810058594,652.012268066
Pin Impedance,19,2017-10-26 14:35:10,0:00:08,1049.41748047,1049.14489746,1052.02282715,1050.92724609,1046.10900879,1047.10070801,1047.51611328,1047.10070801
Pin Impedance,20,2017-10-26 14:35:10,0:00:08,859.619689941,855.537231445,866.912902832,860.600341797,864.599914551,862.844116211,868.093322754,867.078979492
Pin Impedance,21,2017-10-26 14:35:10,0:00:09,449.547546387,449.227111816,454.326965332,446.471710205,453.475463867,454.851623535,453.442382812,454.428222656
Pin Impedance,22,2017-10-26 14:35:10,0:00:09,528.818481445,538.696594238,528.927246094,531.518554688,527.076843262,536.853820801,532.530761719,532.910888672
Pin Impedance,23,2017-10-26 14:35:11,0:00:09,1073.08996582,1072.08813477,1068.21960449,1065.04125977,1072.1809082,1063.51538086,1067.45397949,1066.04504395
Pin Impedance,24,2017-10-26 14:35:11,0:00:10,1096.51086426,1086.42578125,1099.09277344,1091.01147461,1089.73852539,1093.25390625,1094.59814453,1089.52148438
Pin Impedance,25,2017-10-26 14:35:11,0:00:10,494.813110352,498.00100708,493.627380371,495.63394165,498.205780029,493.205841064,497.610290527,503.401428223
Pin Impedance,26,2017-10-26 14:35:11,0:00:10,1026.76049805,1024.94335938,1024.94335938,1026.21875,1026.26794434,1021.60705566,1019.94903564,1026.08825684
Pin Impedance,27,2017-10-26 14:35:12,0:00:10,419.888092041,418.492523193,420.029754639,417.097106934,422.612121582,414.440582275,420.248748779,415.701812744
