,Z score 6391.csv,Z score 6407.csv,Z score 6450.csv,Z score 6530.csv
0,19.3899815557,0.605534751929,-0.171380184945,0.461513171986
1,3.7505628301,1.10857460657,-0.558809539276,1.00752676674
2,12.583247781,0.668774948256,-0.360445562403,0.689770217044
3,1.48730515724,1.34499928819,-0.862079520086,1.34243840648
4,21.1295297122,0.637831380086,-0.24146871605,0.490129472181
5,5.03594872329,1.34745269533,-0.861866892887,1.27133608031
6,3.50858032243,1.32910232663,-0.861523999513,1.26177714749
7,2.87838255473,1.30478825533,-0.901756139738,1.24686624473
8,38.6452564585,1.06853794817,-0.989839763411,1.1253685839
9,45.833751982,1.53087443321,-1.11048465029,1.06552373266
10,30.3342432448,1.758282068,-1.10481405858,0.409929944139
11,38.394096655,1.78192180937,-1.08088847,0.799507041614
12,2.57094338131,1.32719214521,-0.923741195636,1.25178680833
13,7.91679284808,1.10865231317,-0.984452332909,1.23750731103
14,2.90569503157,1.29554477408,-0.942181465882,1.23632455253
15,2.93325767566,1.2886923596,-0.970793179544,1.23160377184
16,18.0341984332,1.14577243662,-0.880584193381,1.24396272516
17,3.27551553617,1.30827740696,-0.956610329413,1.24037926016
18,18.9779324869,1.19122088589,-0.915886471656,1.24123558868
19,12.6047948283,1.22846900714,-0.929302521521,1.24315103345
20,2.2961518421,1.41722380103,-0.869497639064,1.25727737885
21,2.45730744164,1.35608873735,-0.857440667328,1.26086726968
22,20.1107201863,1.19103945412,-0.896664880918,1.22267707076
23,-4.40153004153,1.19349484524,-0.882637497273,1.22497883811
24,1.93570983502,1.28140539367,-0.879177546162,1.27012464029
25,16.0822478466,1.19866019586,-0.857770461738,1.21126748516
26,1.88585803755,1.36820218548,-0.842098727716,1.2500325803
27,2.07328947984,1.33420110541,-0.889554710473,1.23204879346
28,2.17107123908,1.28268079719,-0.879222330808,1.30040167832
29,1.95604842394,1.30668894216,-0.875069533456,1.27236192192
30,-0.511625918939,1.26892930363,-0.901514712373,1.25410743027
31,1.9175433326,1.28275804403,-0.902257317162,1.259980813
32,1.77394851436,1.27267600653,-0.910174581921,1.26099550958
33,1.75047612144,1.2859854372,-0.869846459106,1.26877652266
34,1.70609178908,1.24986246862,-0.908716984944,1.25141329686
35,1.70543807811,1.28834070768,-0.877162247113,1.26847558378
36,1.78406624284,1.22513325359,-0.89416971369,1.29283033504
37,1.6783729007,1.31909159859,-0.890102967239,1.31813316291
38,1.75380097736,1.31161261417,-0.841636841181,1.31314363621
39,1.68720103402,1.31671691447,-0.874031688776,1.32346857752
40,1.65938132332,1.30791960785,-0.827836821861,1.33308917933
41,1.7155494836,1.28543970281,-0.845339992064,1.34854967231
42,1.6603694351,1.27280715915,-0.815473343367,1.34230580617
43,1.65211985202,1.31151777759,-0.842313399192,1.32011211207
44,1.82574891301,1.26256937896,-0.812036449123,1.32751301477
45,1.7421617171,1.29450889565,-0.80555291805,1.32196901002
46,1.77384320111,1.22136159642,-0.806768703852,1.27438264516
