,Unnamed: 0,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47,Lower Bound 10044,Lower Bound 00000004,Lower Bound 10045,Lower Bound 47,Average Trial 6391.csv,Lower Bounds Failure 6391.csv,Z score 6391.csv,Failed Pins 6391.csv,Average Trial 6407.csv,Lower Bounds Failure 6407.csv,Z score 6407.csv,Failed Pins 6407.csv,Average Trial 6530.csv,Lower Bounds Failure 6530.csv,Z score 6530.csv,Failed Pins 6530.csv,Average Trial 6387.csv,Lower Bounds Failure 6387.csv,Z score 6387.csv,Failed Pins 6387.csv,Average Trial 6450.csv,Lower Bounds Failure 6450.csv,Z score 6450.csv,Failed Pins 6450.csv,Average Trial 6419.csv,Lower Bounds Failure 6419.csv,Z score 6419.csv,Failed Pins 6419.csv,Average Trial 6432.csv,Lower Bounds Failure 6432.csv,Z score 6432.csv,Failed Pins 6432.csv,Average Trial 6434.csv,Lower Bounds Failure 6434.csv,Z score 6434.csv,Failed Pins 6434.csv,Average Trial 6441.csv,Lower Bounds Failure 6441.csv,Z score 6441.csv,Failed Pins 6441.csv,Average Trial 6463.csv,Lower Bounds Failure 6463.csv,Z score 6463.csv,Failed Pins 6463.csv,Average Trial 6504.csv,Lower Bounds Failure 6504.csv,Z score 6504.csv,Failed Pins 6504.csv,Average Trial 6511.csv,Lower Bounds Failure 6511.csv,Z score 6511.csv,Failed Pins 6511.csv
10,10,1887.248368,38.30648466,2085.542793,37.61985814,1895.593319,24.84876226,1970.628711,55.4507473,1504.183522,1709.344212,1647.105696,1416.121238,4928.993195,FALSE,75.58376192,,2139.724243,FALSE,1.440235359,,2008.113037,FALSE,-2.058214996,,1864.638077,FALSE,-0.590247104,,1860.260498,FALSE,-0.70452485,,1924.43309,FALSE,1.160611984,,2091.737915,FALSE,7.893535864,,1877.59761,FALSE,-0.724209451,,1873.008499,FALSE,-0.908891137,,1880.995163,FALSE,-0.587480206,,1819.623337,FALSE,-3.057294417,,1931.132294,FALSE,-0.712279261,
11,11,1723.550133,53.27340035,1959.700798,43.17335075,1731.735245,35.85394131,1815.330655,60.4072815,1190.816129,1527.967291,1373.195832,1211.25784,6320.054749,FALSE,100.996422,,2027.483322,FALSE,1.570008418,,1912.30072,FALSE,-1.097901298,,1720.407486,FALSE,-0.058990918,,1691.83493,FALSE,-0.595329041,,1761.962677,FALSE,0.843071393,,1804.096817,FALSE,2.018232016,,1708.905121,FALSE,-0.636753536,,1705.759689,FALSE,-0.724482566,,1741.029602,FALSE,0.259228329,,1688.037964,FALSE,-1.218758086,,1757.727127,FALSE,-0.953585834,
12,12,620.5547545,11.05731744,951.5060024,8.623089855,641.1533585,17.93198121,726.9651779,12.62703265,509.9815801,865.2751039,461.8335463,600.6948514,1134.514221,FALSE,21.22304439,,949.2609406,FALSE,-0.260354689,,938.0295258,FALSE,-1.562836164,,616.9676437,FALSE,-0.324410583,,613.9906921,FALSE,-0.59363968,,653.1231079,FALSE,0.667508476,,670.2927628,FALSE,1.624996365,,622.335556,FALSE,-1.04939896,,620.2275238,FALSE,-1.166956088,,640.5695648,FALSE,-0.032556003,,603.4311295,FALSE,-2.103628626,,720.1215897,FALSE,-0.541979138,
13,13,1067.661356,13.86589045,1347.896608,12.99047854,1116.589619,27.13734433,1221.654138,27.63920887,929.0024517,1217.991822,845.2161754,945.2620495,2180.770508,FALSE,64.11418158,,1329.891724,FALSE,-1.386006222,,1345.995972,FALSE,-0.146309933,,1075.002335,FALSE,0.529427113,,1068.29631,FALSE,0.045792529,,1118.640854,FALSE,0.075587175,,1287.459167,FALSE,6.29647274,,1079.347672,FALSE,-1.372350467,,1087.837418,FALSE,-1.059506808,,1069.497849,FALSE,-1.735312402,,1064.019089,FALSE,-1.937202451,,1210.381699,FALSE,-0.407842338,
14,14,561.2098247,14.3050903,898.6835842,12.61133617,616.2549019,33.14463979,680.8816818,24.70909352,418.1589217,772.5702226,284.8085039,433.7907466,1135.596222,FALSE,18.78568889,,894.3839951,FALSE,-0.340930501,,885.5123749,FALSE,-1.044394437,,556.1992188,FALSE,-0.350267341,,559.1563187,FALSE,-0.143550721,,604.0015488,FALSE,-0.369693356,,671.3602753,FALSE,1.662572703,,579.2725067,FALSE,-1.115788115,,591.1977386,FALSE,-0.755994435,,580.2106171,FALSE,-1.087484584,,555.0293503,FALSE,-1.847223321,,668.8246308,FALSE,-0.487960073,
15,15,600.1588489,15.35544138,931.3058891,12.69653023,657.74366,34.02055307,728.1466263,29.43347333,446.6044351,804.3405868,317.5381293,433.811893,1169.329437,FALSE,18.74713357,,927.8135376,FALSE,-0.27506346,,919.4296799,FALSE,-0.935390146,,595.1587753,FALSE,-0.325622263,,595.9923096,FALSE,-0.271339601,,644.9766693,FALSE,-0.375272872,,723.416832,FALSE,1.930396954,,617.4362869,FALSE,-1.184794761,,631.1238632,FALSE,-0.782462199,,624.5888519,FALSE,-0.974552294,,593.9383087,FALSE,-1.875494238,,715.5034027,FALSE,-0.429552552,
16,16,1184.215727,10.33997486,1431.218363,13.7348607,1189.419025,15.20031387,1298.220239,14.81462744,1080.815978,1293.869756,1037.415887,1150.073965,3312.272766,FALSE,136.9547492,,1414.532959,FALSE,-1.214821528,,1425.566528,FALSE,-0.411495627,,1176.461655,FALSE,-0.749912067,,1186.832779,FALSE,0.253100456,,1194.247681,FALSE,0.317668127,,1234.867554,FALSE,2.989973014,,1172.582855,FALSE,-1.107619904,,1181.761871,FALSE,-0.503749735,,1336.679001,FALSE,9.687956226,,1158.279129,FALSE,-2.048635091,,1297.062424,FALSE,-0.078153552,
17,17,658.4950109,14.0625774,989.7385629,13.10363547,699.0233517,27.75347514,780.898909,21.19517353,517.8692369,858.7022082,421.4886003,568.9471737,1278.098175,FALSE,22.00607708,,987.4636993,FALSE,-0.173605529,,977.4326096,FALSE,-0.939125129,,651.1930161,FALSE,-0.519250111,,652.8552704,FALSE,-0.401046009,,161.0452614,TRUE,-19.38417036,,749.5520096,FALSE,1.82062454,,660.6148834,FALSE,-1.383915638,,747.5974655,FALSE,1.750199339,,697.8751526,FALSE,-0.041371363,,640.290184,FALSE,-2.116245528,,775.1278076,FALSE,-0.272283753,
18,18,1055.567837,10.58210067,1357.23791,13.32580616,1078.941814,14.84598646,1186.576678,15.90697725,949.7468306,1223.979848,930.4819498,1027.506906,3747.940002,FALSE,179.4039373,,1341.546661,FALSE,-1.177508391,,1348.313232,FALSE,-0.669728902,,1048.667374,FALSE,-0.652088263,,1056.472656,FALSE,0.085504662,,1097.931366,FALSE,1.279103386,,1119.954926,FALSE,2.76257231,,1062.372116,FALSE,-1.116106254,,1131.476151,FALSE,3.53862212,,146.8075848,TRUE,-62.78695134,,1043.965347,FALSE,-2.3559544,,1181.218537,FALSE,-0.336842248,
19,19,866.5038768,10.86366291,1190.347749,10.64790634,896.259491,17.54117378,990.074884,18.10718455,757.8672477,1083.868686,720.8477531,809.0030385,2823.505341,FALSE,153.378283,,1176.446808,FALSE,-1.305509343,,1178.572464,FALSE,-1.105877973,,863.1608124,FALSE,-0.30772903,,864.0457687,FALSE,-0.226268811,,977.6203995,FALSE,4.638281879,,948.4921265,FALSE,2.977716095,,877.7916718,FALSE,-1.052826877,,151.0061264,TRUE,-42.48594613,,969.4225388,FALSE,4.17093227,,859.0181046,FALSE,-2.123084058,,985.1462097,FALSE,-0.272194405,
20,20,463.7862274,13.94293349,780.282746,8.426091313,483.5843248,15.87601073,550.1604736,8.404014765,324.3568924,696.0218329,324.8242175,466.120326,915.1650772,FALSE,16.00769873,,789.5112,FALSE,1.095223587,,766.6448364,FALSE,-1.618533323,,451.9713783,FALSE,-0.847371828,,462.5954552,FALSE,-0.085403276,,473.3465614,FALSE,-0.644857425,,514.8340492,FALSE,1.968361254,,458.5413399,FALSE,-1.577410433,,453.9365387,FALSE,-1.867458182,,475.7150154,FALSE,-0.495672972,,449.6449623,FALSE,-2.137776492,,550.7417908,FALSE,0.06917136,
21,21,539.2871088,13.60383748,851.4546324,10.58575252,560.0847454,16.70927912,630.9521393,9.750418376,403.248734,745.5971073,392.9919542,533.4479555,1007.668404,FALSE,14.75698312,,852.6653595,FALSE,0.114373263,,839.2623749,FALSE,-1.151761062,,532.1666489,FALSE,-0.523415542,,541.0980072,FALSE,0.133116731,,556.6388855,FALSE,-0.206224331,,588.2996521,FALSE,1.688577137,,538.0465546,FALSE,-1.318919307,,534.0054855,FALSE,-1.560765111,,567.3022919,FALSE,0.431948405,,523.2673798,FALSE,-2.203408381,,632.4504547,FALSE,0.153666784,
22,22,1075.551832,9.856875866,1365.165717,11.94538624,1094.828949,12.51345162,1206.964923,11.42661971,976.9830733,1245.711854,969.6944328,1092.698726,3812.222229,FALSE,204.8536953,,1350.778244,FALSE,-1.204437639,,1354.894287,FALSE,-0.859865851,,1068.454285,FALSE,-0.72006053,,1079.168625,FALSE,0.366930962,,1104.119339,FALSE,0.742432248,,1131.4729,FALSE,2.928364814,,1079.854019,FALSE,-1.196706574,,1070.915115,FALSE,-1.911050153,,1100.187302,FALSE,0.428207406,,1068.37146,FALSE,-2.114323836,,1206.60553,FALSE,-0.031452278,
23,23,1101.166564,10.99642287,1397.88264,13.1683533,1123.993633,13.12783188,1229.617392,12.34393016,991.2023352,1266.199107,992.7153145,1106.17809,638.2986679,TRUE,-57.68253286,,1382.633438,FALSE,-1.158018859,,1386.821915,FALSE,-0.83994746,,1092.519119,FALSE,-0.786387054,,1106.434937,FALSE,0.47909877,,1126.153748,FALSE,0.164544634,,1160.289642,FALSE,2.764813673,,1112.472549,FALSE,-0.877607509,,1095.126358,FALSE,-2.198936999,,1139.993393,FALSE,1.218766345,,1093.122757,FALSE,-2.351559389,,1229.00763,FALSE,-0.049397758,
